Area Name,Date,# of Hunters,# of Ducks,# of Geese,# of Waterfowl,Average Ducks,Average Geese,Average Waterfowl,#1 Species,#2 Species
Ash Creek,10/2,11,49,5,54,4.5,0.5,4.9,MALL,NSHO [cite: 111]
Ash Creek,10/3,8,23,4,27,2.9,0.5,3.4,MALL,AGWT [cite: 111]
Ash Creek,10/6,32,93,11,104,2.9,0.3,3.3,MALL,GADW [cite: 114]
Ash Creek,10/9,53,208,4,212,3.9,0.1,4.0,AGWT,NSHO [cite: 114]
Ash Creek,10/10,30,35,1,36,1.2,0.0,1.2,MALL,AMWI [cite: 114]
Ash Creek,10/13,11,13,3,16,1.2,0.3,1.5,GADW,AMWI [cite: 117]
Ash Creek,10/16,22,16,0,16,0.7,0.0,0.7,NSHO,AGWT [cite: 117]
Ash Creek,10/17,19,27,0,27,1.4,0.0,1.4,AGWT,NSHO [cite: 117]
Ash Creek,10/27,13,16,1,17,1.2,0.1,1.3,NSHO,GADW [cite: 120]
Ash Creek,10/30,15,18,14,32,1.2,0.9,2.1,CAGO,CAGO [cite: 120]
Ash Creek,10/31,7,8,0,8,1.1,0.0,1.1,AMWI,NSHO [cite: 120]
Ash Creek,11/3,16,30,8,38,1.9,0.5,2.4,AMWI,NSHO [cite: 131]
Ash Creek,11/6,24,46,6,52,1.9,0.3,2.2,MALL,NSHO [cite: 131]
Ash Creek,11/7,6,7,0,7,1.2,0.0,1.2,NSHO,AGWT [cite: 131]
Ash Creek,11/10,19,49,10,59,2.6,0.5,3.1,AMWI,NSHO [cite: 142]
Ash Creek,11/13,26,22,4,26,0.8,0.2,1.0,NSHO,MALL [cite: 142]
Ash Creek,11/14,11,11,0,11,1.0,0.0,1.0,NSHO,MALL [cite: 142]
Ash Creek,11/17,10,2,0,2,0.2,0.0,0.2,BUFF, [cite: 153]
Ash Creek,11/20,16,41,5,46,2.6,0.3,2.9,MALL,BUFF [cite: 153]
Ash Creek,11/21,9,24,1,25,2.7,0.1,2.8,AMWI,MALL [cite: 153]
